主体,公司全称,股票代码,指标,FY2023,FY2024,FY2025,单位,口径说明,主要来源
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,EBITDA,"1,708","1,699","1,750",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,EBITDA率,25.26%,27.31%,27.98%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,经营现金流,"2,254","2,162","2,133",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,资本开支,-708.77,-601.55,-597.47,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,自由现金流,"1,546","1,560","1,536",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,现金及等价物,"1,155","1,577","2,028",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,总资产,"10,899","11,178","11,308",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
SmarTone,SmarTone Telecommunications Holdings Limited,0315.HK,总债务,852.99,963.18,877.59,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,SmarTone 2025/26中期业绩: https://www.smartoneholdings.com/about_us/investor/finance/english/2526/SMT_IR25_eng.pdf；SmarTone投资者关系: https://www.smartoneholdings.com/about_us/investor/overview/english/index.html；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0315/financials/
i-CABLE,i-CABLE Communications Limited,1097.HK,营业收入/收益,597.9,584.49,538.74,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,收入同比增长,6.24%,-2.24%,-7.83%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,毛利,-218.15,-174.76,-165.37,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,毛利率,-36.49%,-29.90%,-30.70%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,经营利润/营业利润,-427.77,-409.76,-360.35,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,经营利润率,-71.55%,-70.11%,-66.89%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,净利润/股东应占利润,-589.27,-553.34,-489.98,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,EBITDA,-343.23,-341.96,-302.59,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,EBITDA率,-57.41%,-58.51%,-56.17%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,经营现金流,-287.25,-220.65,-213.92,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,资本开支,-76.75,-66.7,-52.02,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,自由现金流,-364,-287.35,-265.93,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,现金及等价物,28.92,53.77,113.73,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,总资产,945.16,882.53,867.06,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
i-CABLE,i-CABLE Communications Limited,1097.HK,总债务,"1,843","2,277","2,724",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,i-CABLE 2025年度业绩公告: https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032703354.pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1097/financials/；StockAnalysis balance_sheet: https://stockanalysis.com/quote/hkg/1097/financials/balance-sheet/
中国电信,China Telecom Corporation Limited,0728.HK,营业收入/收益,"513,551","523,569","523,925",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,收入同比增长,6.67%,1.95%,0.07%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,毛利,"260,335","150,067","152,310",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,毛利率,50.69%,28.66%,29.07%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,经营利润/营业利润,"37,128","39,117","40,325",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,经营利润率,7.23%,7.47%,7.70%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,净利润/股东应占利润,"30,446","33,012","33,185",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,EBITDA,"112,362","123,998","119,803",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,EBITDA率,21.88%,23.68%,22.87%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,经营现金流,"137,508","145,268","124,519",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,资本开支,"-89,866","-90,271","-73,148",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,自由现金流,"47,642","54,997","51,371",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,现金及等价物,"81,046","102,009","99,806",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,总资产,"835,814","866,625","870,644",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国电信,China Telecom Corporation Limited,0728.HK,总债务,"65,191","69,355","61,932",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国电信2026年第一季度报告: https://static.cninfo.com.cn/finalpage/2026-04-24/1225159634.PDF；中国电信2025年度业绩公告: https://www.chinatelecom-h.com/en/media/press/p260324.pdf；中国电信股息历史: https://www.chinatelecom-h.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,营业收入/收益,"1,009,309","1,040,759","1,050,187",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,收入同比增长,7.69%,3.12%,0.91%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,毛利,"284,705","301,770","302,975",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,毛利率,28.21%,28.99%,28.85%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,经营利润/营业利润,"139,349","144,155","149,230",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,经营利润率,13.81%,13.85%,14.21%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,净利润/股东应占利润,"131,766","138,373","137,095",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,EBITDA,"346,481","335,256","295,216",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,EBITDA率,34.33%,32.21%,28.11%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,经营现金流,"303,780","315,741","232,919",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,资本开支,"-181,263","-155,979","-156,951",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,自由现金流,"122,517","159,762","75,968",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,现金及等价物,"178,772","242,275","171,094",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,总资产,"1,957,357","2,072,827","2,092,882",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国移动,China Mobile Limited,0941.HK,总债务,"102,934","88,442","101,197",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国移动2026年第一季度报告: https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF；中国移动2025年度业绩公告: https://www.marketscreener.com/news/china-mobile-announces-2025-annual-results-ce7e51dadb88f020；中国移动股息历史: https://www.chinamobileltd.com/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,营业收入/收益,"372,597","389,589","392,223",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,收入同比增长,4.97%,4.56%,0.68%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
